# PID,Name,OBDRequest(HEX),Service(DEC),Parameter(DEC),SubParameter,Category,Type,Manufacturer,Priority,EnglishUnitLabel,MetricUnitLabel,EnglishMinValue,EnglishMaxValue,MetricMinValue,MetricMaxValue,ValueTypes(Double,Bool,String,ListString)
SAE.MIL,故障指示灯 (MIL) 状态,0101,1,1,0,DTC,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.DTC_COUNT,与排放相关的DTC码数量,0101,1,1,1,DTC,Generic,SAE,3,,,0,128,0,128,1,0,0,0
SAE.STORED_DTCS,存储DTC码列表,03,3,0,0,DTC,Generic,SAE,3,,,,,,,0,0,1,1
SAE.PENDING_DTCS,未决DTC码列表,07,7,0,0,DTC,Generic,SAE,3,,,,,,,0,0,1,1
SAE.PERMANENT_DTCS,永久DTC码列表,0A,10,0,0,DTC,Generic,SAE,3,,,,,,,0,0,1,1
SAE.MISFIRE_SUPPORT,失火监测支持,0101,1,1,2,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.FUEL_SUPPORT,燃油系统监测支持,0101,1,1,3,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.CCM_SUPPORT,综合组件监测支持,0101,1,1,4,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.MISFIRE_STATUS,失火监测已完成,0101,1,1,6,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.FUEL_STATUS,燃油系统监测已完成,0101,1,1,7,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.CCM_STATUS,综合组件监测已完成,0101,1,1,8,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.CAT_SUPPORT,催化器监测支持,0101,1,1,9,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.HCAT_SUPPORT,加热的催化器监测支持,0101,1,1,10,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.EVAP_SUPPORT,燃油蒸发系统监测支持,0101,1,1,11,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
SAE.AIR_SUPPORT,二次空气系统监测支持,0101,1,1,12,Emissions,Generic,SAE,3,,,0,1,0,1,1,1,1,0
